tree,crosswalk,stop_sign,traffic_light,chinese_calligraphy,bike_lane,fire_hydrant,sidewalk,node_id
True,True,True,True,False,True,False,True,5264310273
True,True,False,False,False,True,False,True,3620929818
True,True,True,True,False,True,True,True,5742723393
True,True,True,False,False,False,False,True,564527477
True,True,True,False,False,True,True,True,6755418782
False,False,False,False,False,False,False,False,621118281
True,True,False,False,False,False,True,True,7870841806
True,True,False,False,False,False,True,True,7870841822
True,True,True,False,False,False,False,True,7870841823
True,True,False,False,False,False,False,True,7870841824
True,True,True,False,False,False,True,True,7870841825
True,True,False,False,False,False,True,True,7870841833
True,True,False,False,False,False,False,True,7870841836
True,True,False,False,False,False,False,True,7870841839
True,True,True,False,False,True,False,True,7870841842
True,True,True,False,False,False,True,True,7870841856
True,True,True,False,False,True,True,True,7870841855
True,True,False,False,False,False,True,True,7870841849
True,True,False,False,False,False,True,True,7870841850
True,True,True,False,False,True,True,True,7870841851
True,True,False,False,False,False,False,True,7870841857
True,True,True,False,False,False,True,True,7870841860
True,True,True,False,False,False,False,True,7870841859
True,True,False,False,False,False,True,True,7870841861
True,True,True,False,False,False,False,True,7870841858
True,True,True,False,False,False,True,True,7899317476
True,True,True,True,False,False,False,True,5264311548
True,True,True,True,False,True,False,True,11749322588
True,True,False,False,False,False,False,True,5458232834
True,True,False,False,False,False,False,True,5458232836
True,True,False,True,False,True,False,True,11749322594
True,True,False,False,False,True,True,True,7703103094
True,True,False,False,False,True,False,True,7703103096
True,True,False,False,False,True,True,True,7703103097
True,True,False,False,False,True,False,True,7703103098
False,True,False,False,False,False,True,True,12165777050
True,True,False,False,False,False,False,True,12165777063
True,True,False,False,False,True,False,True,11169433295
True,True,False,True,False,True,False,False,11002283788
True,True,False,False,False,False,True,True,12246878308
False,True,False,False,False,False,True,True,7890163730
True,True,True,False,False,False,False,True,11736910644
True,True,False,False,False,True,False,True,7890163761
True,True,False,True,False,True,False,False,5264313383
True,True,False,False,False,True,False,True,7693044865
False,True,False,False,False,False,False,True,7703039105
True,False,False,False,False,False,True,True,7703039113
True,True,False,False,False,True,False,True,1623035026
True,True,False,True,False,True,False,True,7703039141
True,True,True,False,False,True,True,True,11770006775
True,True,False,True,False,True,False,True,7703006479
True,True,False,False,False,True,False,True,566889783
True,True,True,False,False,False,False,True,566889864
True,True,True,True,False,True,True,True,9907932609
True,True,False,True,False,True,False,True,9907932610
True,True,False,False,False,False,False,True,1548095091
True,True,False,False,False,False,True,True,9661124324
True,True,False,True,False,False,False,True,9661124332
True,True,False,False,False,False,True,True,9661124333
True,True,True,True,False,True,False,True,5264314157
True,True,False,False,False,False,False,True,61327098
True,True,False,False,False,False,False,True,1706528825
True,True,False,False,False,True,True,True,11951116492
True,True,False,False,False,True,False,True,566890773
True,True,False,False,False,True,True,True,2517602625
True,True,False,False,False,True,False,True,2517602626
True,True,False,True,False,False,False,True,7641829757
True,True,True,True,False,True,True,True,5264314881
True,True,False,False,False,False,True,True,11736322702
True,True,False,False,False,False,True,True,541332159
True,False,False,False,False,False,False,True,7725585244
True,True,False,False,False,False,True,True,1144127685
True,True,False,False,False,True,True,True,7890342979
True,True,False,True,False,True,False,True,575444083
True,True,False,False,False,False,False,True,7884018909
False,True,False,False,False,False,False,True,7884018918
True,True,True,False,False,True,False,True,1705743859
True,True,False,False,False,True,True,True,1705743863
True,True,False,False,False,False,True,True,7870846629
True,True,False,False,False,False,True,True,7870846631
True,True,True,False,False,False,False,True,7870846633
True,True,False,False,False,False,False,True,7870846637
True,True,False,False,False,False,True,True,7870846639
True,True,False,False,False,False,True,True,7870846634
True,True,False,False,False,False,False,True,7870846635
True,True,False,True,False,False,False,True,11748972205
True,True,True,False,False,False,False,True,7870846638
True,True,True,False,False,False,False,True,7870846640
True,True,False,False,False,False,False,True,1038849724
True,True,False,True,False,True,True,True,579049173
True,True,False,False,False,False,True,True,575444717
True,True,False,True,False,True,True,True,7884019453
True,True,False,False,False,False,True,True,7884019458
True,True,False,False,False,True,False,True,7884019459
True,True,False,False,False,True,True,True,7884019462
True,True,True,False,False,False,False,True,7884019456
True,True,False,False,False,False,True,True,7884019457
True,True,False,True,False,True,True,True,5264316188
True,True,False,True,False,True,False,False,8324159322
True,True,True,False,False,True,True,True,7884019578
True,True,True,False,False,True,False,True,7884019579
True,True,True,False,False,True,True,True,7884019580
True,True,True,False,False,True,True,True,7884019581
True,True,False,False,False,False,False,True,7884019586
True,True,False,False,False,True,False,True,7884019587
True,True,False,False,False,False,True,True,7884019588
True,True,True,False,False,True,True,True,7884019589
True,False,False,True,False,True,False,True,2691995531
True,True,False,False,False,False,True,True,7884019603
True,True,False,False,False,False,True,True,7884019599
True,True,False,False,False,False,True,True,7884019600
