osmid,latitude,longitude
61317323,42.3696011,-71.1181455
61321986,42.37226,-71.1193492
61324477,42.3728963,-71.1171159
61324503,42.3731211,-71.1179145
61325428,42.3719839,-71.1185717
61325608,42.3726977,-71.1164118
61329582,42.3723288,-71.1165824
435099116,42.3725225,-71.1172874
621110035,42.3730938,-71.1178178
663712109,42.3732575,-71.1187502
1001516277,42.3722058,-71.1155943
2049832619,42.3725547,-71.1160318
5645093171,42.3733106,-71.1185178
6124562830,42.3736741,-71.1188321
6298024782,42.3732508,-71.1183708
7628877230,42.3730326,-71.1179656
7628877232,42.3728074,-71.1171567
7629147296,42.372604,-71.1164551
8754581049,42.3723962,-71.1158273
11729271627,42.3726772,-71.1163372
11729585231,42.3716368,-71.1176144
11765173118,42.3725209,-71.1159175
12022101436,42.374002,-71.1188376
12099318079,42.3725066,-71.1159651
12132822832,42.3725732,-71.1172641
12132822859,42.3726086,-71.1172479
12132822869,42.3729497,-71.1189532
12132822874,42.3727016,-71.118156
12132822898,42.3725787,-71.1191662
