tree,stop_sign,crosswalk,traffic_light,chinese_calligraphy,bike_lane,fire_hydrant,sidewalk,node_id
True,False,True,False,False,False,False,True,61317323
True,True,True,False,False,True,False,True,61321986
True,False,True,False,False,False,True,True,61324477
True,False,True,True,False,False,True,True,61324503
True,False,True,False,False,True,False,True,61325428
True,True,True,False,False,True,False,True,61325608
True,True,True,False,False,False,True,True,61329582
True,True,False,False,False,False,True,True,435099116
True,False,True,True,False,True,False,True,621110035
True,False,True,False,False,True,True,True,663712109
True,False,True,False,False,True,False,True,1001516277
True,False,True,True,True,True,True,True,2049832619
True,False,True,False,False,True,False,True,5645093171
True,False,True,True,False,False,False,True,6124562830
True,False,True,True,False,True,False,True,6298024782
True,True,True,True,False,False,True,True,7628877230
True,False,True,False,False,False,False,True,7628877232
True,True,True,False,False,False,True,True,7629147296
True,False,True,True,True,True,False,True,8754581049
True,False,True,False,False,False,False,True,11729271627
True,True,True,False,False,True,False,True,11729585231
True,False,True,False,True,True,False,True,11765173118
True,False,True,False,False,True,False,True,12022101436
True,False,True,True,True,True,False,True,12099318079
True,False,False,False,False,False,True,True,12132822832
False,False,True,False,False,False,True,True,12132822859
True,False,True,False,False,True,True,True,12132822869
True,False,True,False,False,False,False,True,12132822874
False,False,True,False,False,False,False,True,12132822898
