osmid,latitude,longitude
1038884878,42.3523528,-71.0644557
61341713,42.3502982,-71.0602501
1038884882,42.3523874,-71.0646733
61341714,42.3501438,-71.0597543
61341725,42.3531531,-71.0607
6863847636,42.352476,-71.0617086
6863847638,42.3522115,-71.0613169
2500911316,42.3507868,-71.062154
61341941,42.3504705,-71.0608717
61341948,42.351216,-71.0598801
12124193042,42.3516048,-71.0637727
9261998423,42.3510409,-71.0590819
61342086,42.3491893,-71.0621013
6755197337,42.3473835,-71.0628361
6755426729,42.3474708,-71.0615653
7715496455,42.3489955,-71.0638387
7715496461,42.3509476,-71.0628981
7715496462,42.3508681,-71.062941
7715496465,42.3510675,-71.0629436
7715496467,42.3497979,-71.0618538
7715496470,42.3497723,-71.0619575
7715496471,42.3492299,-71.0620848
7715496472,42.3492106,-71.0621773
61350425,42.347321,-71.0643733
61350421,42.3476789,-71.0657086
10924040741,42.3524173,-71.0650852
61588040,42.3525232,-71.0593955
1905377882,42.3524074,-71.0585065
61342392,42.3504516,-71.0565927
61342426,42.3497395,-71.0618776
61342428,42.3495019,-71.0612618
1830331101,42.3511566,-71.0599037
1830331103,42.3513002,-71.0605441
1830331106,42.3513365,-71.0604212
61342439,42.3486597,-71.0623168
1830331121,42.3514217,-71.0612054
1830331123,42.3514799,-71.0610982
1830331124,42.3514768,-71.0612757
1830331125,42.3515448,-71.0611727
61342462,42.3481823,-71.0625111
61342477,42.3481247,-71.0611242
61342489,42.3482697,-71.0617498
61367090,42.3519724,-71.0612604
61580134,42.3513593,-71.0605206
61367213,42.3478098,-71.0626626
621020082,42.3487738,-71.05935
621020087,42.3486706,-71.0570372
61342741,42.3470573,-71.0629682
61506639,42.3494964,-71.0628501
518079730,42.3521795,-71.0583944
61375918,42.353099,-71.062537
1038878172,42.3516568,-71.064746
7688029720,42.3478268,-71.0627393
7688029730,42.3480537,-71.0611576
7688029741,42.3482135,-71.0617722
7688029743,42.3482551,-71.0616867
7688029749,42.3492803,-71.0607192
7688029754,42.3501787,-71.0602977
7688029760,42.3501863,-71.0598899
7688029763,42.350268,-71.059703
7688029766,42.3501091,-71.0596273
7688029772,42.3503818,-71.0602168
7688029778,42.3508941,-71.062174
7688029780,42.3507057,-71.062222
7688029788,42.3515449,-71.0628136
7688029789,42.3514899,-71.0629099
7688029791,42.35145,-71.0628397
7688029793,42.351588,-71.06272
7688029795,42.3515742,-71.0635378
7688029797,42.351707,-71.0646118
7688029798,42.347793,-71.064157
7688029811,42.3492315,-71.0606691
61580973,42.3514788,-71.0628318
61580985,42.3516031,-71.0628
5599241948,42.3509454,-71.0649625
5599241950,42.3510854,-71.0647965
5599241951,42.3510887,-71.0650722
7636322110,42.3522791,-71.0641506
7636322111,42.3516944,-71.0642649
7636322136,42.3523758,-71.0639022
7636322137,42.3528255,-71.0643356
7636322207,42.3523049,-71.0626101
7636322208,42.3524158,-71.0624386
7636322209,42.3524797,-71.0625792
7636264879,42.3516678,-71.0648376
7636322221,42.3524979,-71.0614786
7636322232,42.3525283,-71.0610737
7636322224,42.3525977,-71.061412
7636322235,42.3524382,-71.0613737
7016236997,42.350988,-71.0613806
7016237001,42.3508735,-71.0607139
7636322272,42.3525152,-71.0593244
7636322273,42.3524566,-71.0593927
7636322275,42.3525326,-71.0594756
2300348390,42.3517219,-71.0647293
7636322295,42.3525048,-71.0606576
7636322292,42.3524945,-71.059813
7271385358,42.3495909,-71.0612243
61352358,42.3523198,-71.0633365
2500913635,42.3509273,-71.0630417
61385322,42.3525241,-71.0611435
8721279774,42.3515191,-71.0628209
6543322090,42.3509311,-71.0632144
6755626256,42.3490947,-71.0640083
4071976285,42.3473479,-71.064476
4071976286,42.3478077,-71.0642511
4071976287,42.3483356,-71.0641045
4071976288,42.3484167,-71.0639853
9277533548,42.3474612,-71.0644581
7636322210,42.3523765,-71.062716
7636322233,42.3525956,-71.0611136
