osmid,latitude,longitude
5264310273,42.3535547,-71.0790763
3620929818,42.3619182,-71.0797867
5742723393,42.3617378,-71.0975344
564527477,42.3621513,-71.1012208
6755418782,42.3603494,-71.0866434
621118281,42.3548519,-71.0775733
7870841806,42.3593682,-71.1095626
7870841822,42.3568416,-71.1092478
7870841823,42.3589643,-71.1087517
7870841824,42.3590642,-71.1087448
7870841825,42.3590483,-71.1089024
7870841833,42.3561804,-71.1099391
7870841836,42.3559458,-71.1096397
7870841839,42.3558417,-71.1096353
7870841842,42.3558595,-71.1094986
7870841856,42.3574081,-71.108079
7870841855,42.3573117,-71.1080877
7870841849,42.3566147,-71.1087456
7870841850,42.3566911,-71.1087459
7870841851,42.3566749,-71.1088509
7870841857,42.3577794,-71.1088629
7870841860,42.3583294,-71.1095252
7870841859,42.358226,-71.1095042
7870841861,42.3583361,-71.1096951
7870841858,42.3582058,-71.1096545
7899317476,42.3589296,-71.1088869
5264311548,42.3536031,-71.0792462
11749322588,42.3572887,-71.0926585
5458232834,42.3576092,-71.1077808
5458232836,42.3575607,-71.107832
11749322594,42.357173,-71.0923789
7703103094,42.3613378,-71.0935356
7703103096,42.3612824,-71.0936484
7703103097,42.3611003,-71.094019
7703103098,42.3612249,-71.0937654
12165777050,42.3558556,-71.0990919
12165777063,42.3559497,-71.0991877
11169433295,42.3619993,-71.0808595
11002283788,42.3613808,-71.0969303
12246878308,42.3609464,-71.0993819
7890163730,42.3615149,-71.1001716
11736910644,42.3614234,-71.1027962
7890163761,42.3608954,-71.1019421
5264313383,42.3530366,-71.0813481
7693044865,42.3630503,-71.0881575
7703039105,42.3619934,-71.0968782
7703039113,42.361951,-71.0954101
1623035026,42.3612097,-71.0715551
7703039141,42.3603909,-71.0952767
11770006775,42.3614342,-71.0843261
7703006479,42.3604979,-71.0954529
566889783,42.3577816,-71.1075994
566889864,42.3582322,-71.1074555
9907932609,42.3621434,-71.0826281
9907932610,42.3620116,-71.0827044
1548095091,42.3630022,-71.0823524
9661124324,42.3593691,-71.0867639
9661124332,42.3593135,-71.0869326
9661124333,42.3594419,-71.0865483
5264314157,42.3529954,-71.0812298
61327098,42.3631341,-71.1109896
1706528825,42.3571465,-71.1042266
11951116492,42.355946,-71.1032891
566890773,42.3575762,-71.1083598
2517602625,42.3617544,-71.0792667
2517602626,42.3618702,-71.0792533
7641829757,42.3628893,-71.0967439
5264314881,42.35308,-71.0811869
11736322702,42.357494,-71.1036958
541332159,42.3605936,-71.1028852
7725585244,42.3615223,-71.0785271
1144127685,42.3563985,-71.1069872
7890342979,42.3559318,-71.1032808
575444083,42.3629932,-71.0938539
7884018909,42.362378,-71.1056402
7884018918,42.3621075,-71.0996187
1705743859,42.361928,-71.100841
1705743863,42.3624334,-71.1002706
7870846629,42.3613936,-71.1084661
