start_node,end_node,name,length
1038884878,61354252,Boylston Street,26.017
61341713,7688029754,Hudson Street,13.852
61341713,7650883959,Kneeland Street,49.218
61341713,7688029772,Hudson Street,9.69
61341713,7688029760,Kneeland Street,32.11
1038884882,61341689,Boylston Street,9.792
61341714,7688029760,Kneeland Street,12.104
61341714,7688029766,Kneeland Street,11.129999999999999
6863847636,7636322221,Essex Street,19.056
6863847638,61367090,Harrison Avenue,26.989
2500911316,61584989,Kneeland Street,5.501
2500911316,7650883973,Kneeland Street,47.373
61341941,7650883959,Kneeland Street,5.342
61341941,7650883963,Kneeland Street,5.303
61341941,7650883960,Tyler Street,9.771
61341948,61501739,Beach Street,35.619
12124193042,7688029795,LaGrange Street,19.602
9261998423,61414757,Beach Street,2.465
61342086,7715496472,Bennet Street,6.68
61342086,11530958778,Harrison Avenue,27.681
6755197337,61486139,Harrison Avenue,13.433
6755426729,2996367307,Hudson Street,46.35
7715496455,4071897799,Nassau Street,3.264
7715496455,4071979093,Nassau Street,6.954
7715496461,2500913635,Kneeland Street,12.015
7715496462,61585008,Kneeland Street,50.68600000000001
7715496465,7688029791,Washington Street,43.38999999999999
7715496467,61342426,Harrison Avenue,6.782
7715496470,7688029780,"['Harvard Street', 'Monsignor Shea Road']",153.583
7715496471,61342086,Harrison Avenue,4.714
7715496472,61342086,Bennet Street,6.68
7715496472,61506639,Bennet Street,63.772
61350425,7650883910,Washington Street,13.306
61350425,4071976285,Marginal Road,8.954
10924040741,1038884882,Boylston Street,34.011
61588040,7636322273,Kingston Street,7.409
61588040,7636322272,Essex Street,5.91
61342392,9261998423,Beach Street,214.82199999999997
61342426,7715496470,Harvard Street,7.511
61342426,7715496471,Harrison Avenue,59.168
61342428,7650883953,Harvard Street,5.863
61342428,7650883951,Tyler Street,3.552
1830331101,61341948,Hudson Street,6.884
1830331103,61580134,Tyler Street,6.849
1830331106,61580134,Beach Street,8.553
61342439,7650883936,Harrison Avenue,49.883
1830331121,7016236997,Harrison Avenue,50.32899999999999
1830331123,61341258,Beach Street,7.248
1830331124,61341256,Beach Street,71.281
1830331125,61341258,Harrison Avenue,7.315
61342462,7650883935,Oak Street,7.809
61342462,7650883937,Harrison Avenue,5.48
61342477,7688029743,Tai Tung Street,48.447
61342477,7688029730,Hudson Street,8.36
61342489,6755678645,Tyler Street,57.208
61367090,7732861158,Oxford Place,11.293
61367090,1830331125,Harrison Avenue,48.134
61580134,1830331123,Beach Street,49.345
61367213,6755197337,Harrison Avenue,49.5
621020087,621020082,South Station Connector,202.94000000000003
61342741,7650883920,Marginal Road,8.796
61342741,1013120303,Harrison Avenue,71.171
61506639,7715496472,Bennet Street,63.772
518079730,7732861087,John F. Fitzgerald Surface Road,137.742
1038878172,7636264879,Allen's Alley,7.626
1038878172,3035699247,Tremont Street,51.971000000000004
7688029720,61367213,Johnny Court,6.581
7688029730,6755426729,Hudson Street,73.17099999999999
7688029741,61342489,Tyler Street,6.515
7688029743,61342489,Tai Tung Street,5.434
7688029749,7650883950,Harvard Street,46.04
7688029754,61503308,Hudson Street,106.063
7688029760,61341714,Kneeland Street,12.104
7688029760,61341713,Kneeland Street,32.11
7688029766,7732861161,Kneeland Street,47.982
7688029766,61341714,Kneeland Street,11.129999999999999
7688029772,1830331101,Hudson Street,89.914
7688029778,61584989,Knapp Street,10.748000000000001
7688029780,2500911316,Monsignor Shea Road,10.609
7688029788,61580985,Washington Street,6.567
7688029789,61580973,LaGrange Street,6.535
7688029791,61580973,Washington Street,3.268
7688029793,61580985,Beach Street,6.785
7688029795,8718047543,LaGrange Street,15.65
7688029797,61355687,LaGrange Street,28.401
7688029798,4071976286,Pine Street,7.904
7688029798,61362415,Pine Street,60.105
7688029811,61342477,Hudson Street,128.628
61580973,8721279774,Washington Street,4.57
61580985,61354257,Washington Street,35.431000000000004
5599241948,10303183519,Tremont Street,130.748
5599241950,61340937,Stuart Street,10.267
5599241950,6543322090,Stuart Street,131.185
5599241951,61340937,Stuart Street,12.393
5599241951,61364147,Stuart Street,82.371
7636322110,61354252,Tamworth Street,5.56
7636322111,61519801,Tamworth Street,29.903
7636322136,7636322137,Head Place,85.09200000000001
7636322136,61354253,Head Place,6.199
7636322137,3035699243,Head Place,7.383
7636322137,7636322136,Head Place,85.09200000000001
7636322207,61354255,Washington Street,9.842
7636322208,6863847636,Essex Street,60.36
7636322209,61375918,Washington Street,68.965
7636264879,1038878172,Allen's Alley,7.626
7636264879,61374387,Allen's Alley,57.257
7636322221,61354256,Essex Street,7.258
7636322232,61501656,Essex Street,33.609
7636322224,61354256,Harrison Avenue Extension,10.196
7636322235,6863847638,Harrison Avenue,25.636
7016236997,61358016,Harrison Avenue,17.077
7016237001,1830331103,Tyler Street,49.456
7636322272,1905377882,Essex Street,68.271
7636322273,7636322292,"['Edinboro Street', 'Kingston Street']",202.25199999999998
7636322275,61588040,Essex Street,6.665
2300348390,7688029797,LaGrange Street,9.797
2300348390,1038878172,Tremont Street,7.368
7636322295,61501656,Oxford Street,6.589
7636322292,61340905,Edinboro Street,6.507
7271385358,7650883962,Tyler Street,88.993
61352358,7636322210,Boylston Street,51.385999999999996
2500913635,7715496462,Kneeland Street,10.574
2500913635,4071979104,Washington Street,18.411
2500913635,7715496465,Washington Street,17.551
2500913635,6543322090,Stuart Street,14.199
61385322,7636322233,Chauncy Street,8.321
61385322,7636322232,Essex Street,5.755
8721279774,7688029788,Washington Street,2.931
6543322090,5599241950,Stuart Street,131.185
6543322090,2500913635,Stuart Street,14.199
6755626256,1159803209,Washington Street,7.595
4071976285,7650883904,Marginal Road,6.58
4071976286,7688029798,Pine Street,7.904
4071976286,4071976287,Washington Street,59.924
4071976287,4071979089,Washington Street,9.779
4071976288,61356470,Oak Street,34.384
7636322210,61354255,Boylston Street,10.405000000000001
7636322233,61341725,Chauncy Street,71.499
61501279,7636322224,Harrison Avenue Extension,98.314
2996367307,7650883918,Hudson Street,82.326
353931264,527724547,John F. Fitzgerald Expressway,348.43999999999994
527724547,61445102,John F. Fitzgerald Expressway,351.827
61501656,61363891,Essex Street,43.305
61362409,61362413,Oak Street,57.297
61362409,61362422,Maple Place,39.202
61362413,61342462,Oak Street,6.647
61362415,7732861219,Maple Place,8.965
61362415,7995544011,Pine Street,10.098
61362415,7688029798,Pine Street,60.105
61362422,7732861224,Johnny Court,3.707
61362422,61362409,Maple Place,39.202
61362422,7732861219,Maple Place,30.911
8718047543,7688029789,LaGrange Street,36.804
61354252,61354253,Boylston Street,19.441
61354253,7620743967,Boylston Street,11.471
61354253,7636322136,Head Place,6.199
61354255,7636322208,Essex Street,12.809
61354255,7636322209,Washington Street,9.768
61354256,7636322235,Harrison Avenue,7.817
61354256,7755494646,Essex Street,6.668
61354257,7636322207,Washington Street,44.156
61395229,61352358,Boylston Street,13.093
61501739,7732861144,Oxford Street,8.121
61501739,1830331106,Beach Street,10.822
1159803209,4071979093,Nassau Street,9.103
1159803209,4071979092,Washington Street,58.355
7995544011,7995544016,,2.211
7995544011,61494113,Pine Street,46.742999999999995
7995544012,7995544013,,28.148
7995544012,7995544016,,1.108
7995544013,7995544012,,28.148
7995544016,7995544012,,1.108
7995544016,7995544011,,2.211
2931962578,353931264,John F. Fitzgerald Expressway,201.89
7620743967,61395229,Boylston Street,22.201
61444915,61405366,Massachusetts Turnpike,882.2189999999998
61494113,61486139,Pine Street,6.006
4750922721,9276534618,Washington Street,59.129
61486139,7650883919,Harrison Avenue,15.084
1830597759,2300348390,Tremont Street,64.655
4260967552,1830597764,Tremont Street,22.424
1830597764,61341689,Tremont Street,10.867
61445288,353931264,,249.51999999999998
61371587,7650883863,Ash Street,58.366
61371587,7650883868,Nassau Street,4.549
61371587,7650883862,Nassau Street,89.04599999999999
7755494646,61385322,Essex Street,13.772
6866343358,61340905,Essex Street,14.169
61584989,61585008,Kneeland Street,9.467
61584989,2500911316,Kneeland Street,5.501
61585008,61584989,Kneeland Street,9.467
61585008,7715496461,Kneeland Street,49.31
61355687,7636322111,Tamworth Street,3.205
61355687,12124193042,LaGrange Street,41.484
61363891,6866343358,Essex Street,13.51
5736249070,7653489972,Washington Street,13.031
61503308,7688029811,Hudson Street,3.594
61503308,7688029749,Harvard Street,5.462
7650883868,11532566244,Nassau Street,9.481
7650883869,61371587,Nassau Street,4.413
61364147,5599241951,Stuart Street,82.371
61519801,7636322110,Tamworth Street,35.788
11530958778,61342439,Harrison Avenue,33.813
7650883904,61350421,Marginal Road,101.196
7650883909,61350425,Marginal Road,8.198
7650883910,4071976286,Washington Street,41.759
3035699243,7636322137,Head Place,7.383
3035699247,61340937,Tremont Street,13.011
4071979089,61356471,Oak Street West,8.946
4071979089,4071976288,Oak Street,7.769
4071979089,4071979091,Washington Street,8.82
4071979090,61356471,Oak Street West,9.805
4071979090,61505151,Oak Street West,103.29299999999999
4071979091,4071979093,Washington Street,58.248999999999995
4071979092,61356471,Washington Street,9.38
4071979093,7715496455,Nassau Street,6.954
4071979093,1159803209,Nassau Street,9.103
4071979093,4071979098,Washington Street,50.855
4071979096,6755626256,Washington Street,39.071
4071979098,4071979101,Washington Street,30.590000000000003
4071979101,9468255241,Washington Street,42.444
4071979103,2500913635,Washington Street,16.208
4071979104,5736249070,Washington Street,56.413
4071979102,61554397,Washington Street,32.977000000000004
7732861086,61374176,Beach Street,10.188
7732861087,61374176,John F. Fitzgerald Surface Road,8.756
7732861106,7688029763,John F. Fitzgerald Surface Road,87.33800000000001
61405366,61379441,Massachusetts Turnpike,761.9359999999999
7732861143,7732861158,Oxford Place,91.908
7732861144,7636322295,Oxford Street,128.278
7732861151,61358063,Knapp Street,44.671
7732861153,61358016,Knapp Street,7.485
7732861158,61367090,Oxford Place,11.293
7732861158,7732861143,Oxford Place,91.908
7732861161,7732861163,"['Lincoln Street Connector', 'Kneeland Street']",26.322000000000003
7732861161,7688029766,Kneeland Street,47.982
7732861163,7732861161,"['Lincoln Street Connector', 'Kneeland Street']",26.322000000000003
7650883863,61371587,Ash Street,58.366
7650883863,61356470,Ash Street,5.307
7650883862,61342439,Nassau Street,6.737
7732861219,61362422,Maple Place,30.911
7732861219,61362415,Maple Place,8.965
7732861224,7688029720,Johnny Court,50.91
7650883919,61342741,Harrison Avenue,9.345
7650883918,61342741,Hudson Street,8.873
7650883935,7688029741,"['Tyler Street', 'Oak Street']",71.297
7650883936,61342462,Harrison Avenue,5.551
7650883937,61367213,Harrison Avenue,37.77
7650883950,61342428,Harvard Street,4.916
7650883951,7271385358,Tyler Street,6.815
7650883945,61342426,Harvard Street,6.012
7650883952,61342428,Tyler Street,3.966
7650883953,7650883945,Harvard Street,45.233
7650883969,61471576,Kneeland Street,5.683
7650883969,7650883963,Kneeland Street,45.217
7650883970,61471576,Harrison Avenue,9.89
7650883971,7715496467,Harrison Avenue,85.224
7650883973,2500911316,Kneeland Street,47.373
7650883973,61471576,Kneeland Street,7.526
6755678645,7650883952,Tyler Street,81.593
61356470,61362409,Oak Street,25.63
61356470,7650883863,Ash Street,5.307
61356471,4071979089,Oak Street West,8.946
61356471,4071979090,Oak Street West,9.805
61356471,61554439,Washington Street,9.864
4071897799,7715496455,Nassau Street,3.264
4071897799,11532566241,Nassau Street,4.945
61471576,7650883971,Harrison Avenue,12.041
61471576,7650883973,Kneeland Street,7.526
61471576,7650883969,Kneeland Street,5.683
7650883920,7650883909,Marginal Road,102.161
9468255241,7653489977,Washington Street,14.367
9468255242,7653489978,Washington Street,4.658
61340905,7636322275,Essex Street,27.136000000000003
61340937,5599241950,Stuart Street,10.267
61340937,5599241951,Stuart Street,12.393
61340937,5599241948,Tremont Street,16.169
1013120283,1013120301,Washington Street,58.948
7653489972,9468255242,Washington Street,14.185
7653489975,4071979102,Washington Street,9.643
7653489977,4071979103,Washington Street,70.7
7653489978,7653489975,Washington Street,27.169
61414757,7732861086,Beach Street,10.937
61341256,7732861151,Knapp Street,7.335999999999999
61341256,7688029793,Beach Street,49.454
61341258,1830331124,Beach Street,7.346
61341258,1830331121,Harrison Avenue,6.646
61505151,4071979090,Oak Street West,103.29299999999999
61374176,7732861106,John F. Fitzgerald Surface Road,9.555
61554397,4071979096,Washington Street,4.442
11532566241,11532566243,Nassau Street,16.604
11532566242,4071897799,Nassau Street,4.501
11532566243,7650883869,Nassau Street,9.073
11532566244,11532566242,Nassau Street,16.554
61554439,9277533548,Washington Street,100.179
7650883959,61341941,Kneeland Street,5.342
7650883959,61341713,Kneeland Street,49.218
7650883960,7016237001,Tyler Street,36.88
61374387,7636264879,Allen's Alley,57.257
7650883962,61341941,Tyler Street,13.018
61358016,7650883970,Harrison Avenue,13.699
7650883963,61341941,Kneeland Street,5.303
7650883963,7650883969,Kneeland Street,45.217000000000006
61358063,7732861153,Knapp Street,51.294
61358063,7688029778,Knapp Street,12.444
61341689,1830597759,Tremont Street,9.012
61341689,1038884878,Boylston Street,8.511
