osmid,latitude,longitude
4169924609,37.8004904,-122.2745306
4169924612,37.8025589,-122.272297
4169924615,37.8036039,-122.2701322
53133400,37.8008522,-122.2689051
1068458073,37.8008278,-122.2718625
1068458084,37.8003748,-122.270678
4930036068,37.7997525,-122.2704677
4595671496,37.8014706,-122.2729258
4595671498,37.8015032,-122.2730135
4595671502,37.8016413,-122.2728197
4595671505,37.8016762,-122.272906
4595671521,37.8023492,-122.2724334
53027364,37.7990276,-122.2729854
53027366,37.7997219,-122.2725538
53027368,37.8004082,-122.2721278
53027373,37.8017802,-122.271269
53027375,37.8024695,-122.2708392
53027377,37.8031586,-122.2704098
4930036284,37.7991381,-122.2732646
4930036291,37.7991667,-122.2733362
4930036298,37.7982819,-122.2710869
4930036303,37.7986781,-122.2698972
4930036305,37.7987037,-122.2699628
4930036312,37.7985088,-122.2694637
4930036423,37.7982729,-122.2710641
4930036425,37.7983882,-122.2713587
52986575,37.7981188,-122.2750181
4930036432,37.8023003,-122.2694768
4930036434,37.802151,-122.270028
4930036446,37.7998988,-122.2686725
4930036463,37.7993128,-122.2671799
53077108,37.7994933,-122.2741577
53077109,37.8001751,-122.273728
53077110,37.8022601,-122.2724916
10774152317,37.8023885,-122.270889
10774152322,37.802212,-122.2723733
3969156460,37.7988654,-122.2725589
53118718,37.7985649,-122.2718069
53118721,37.8013174,-122.27009
53118723,37.8020066,-122.26966
53118724,37.8026962,-122.2692298
53078084,37.8010836,-122.2672955
53078085,37.8017705,-122.2668676
53078109,37.7983312,-122.2690103
53143658,37.8015489,-122.2684754
53119221,37.802232,-122.2680453
8873552129,37.8007804,-122.270425
8873552131,37.8012373,-122.2716071
8873552133,37.8013506,-122.2715363
8873552135,37.8008901,-122.2703566
11988871473,37.8018986,-122.2671932
4306824077,37.8025501,-122.2707882
4306824231,37.8024299,-122.2707376
9763736885,37.7987386,-122.2722416
2389032927,37.8018607,-122.2727914
53030263,37.7987744,-122.2657929
53030264,37.7992317,-122.2669733
53030265,37.7996972,-122.2681593
53030266,37.8001596,-122.2693367
53030269,37.800625,-122.270522
53030370,37.8015501,-122.2728768
2072636914,37.8006555,-122.2727752
274411301,37.799741,-122.2682705
3393105922,37.7991667,-122.2714313
3393105923,37.7992119,-122.2712563
3393105924,37.7993047,-122.2714909
3393105925,37.799354,-122.2713132
283267100,37.7978923,-122.2722822
53055584,37.8013648,-122.2745804
53055586,37.8008624,-122.2733014
53055589,37.7999425,-122.2709477
53055591,37.799473,-122.2697645
8873537845,37.7987267,-122.2700211
5820715450,37.8010345,-122.2737398
8532169567,37.799951,-122.2688051
8532169574,37.8000664,-122.269099
53131003,37.7981077,-122.2706422
53098272,37.7992606,-122.2713725
53098274,37.7987929,-122.2701906
2389063554,37.8036339,-122.2716226
9979378007,37.8021665,-122.2710275
4175051105,37.8020694,-122.2676282
4175051136,37.801931,-122.2672773
4175051182,37.8023355,-122.2694548
8873548276,37.800855,-122.2718451
1186380357,37.800044,-122.272351
53082887,37.803389,-122.2687996
228555555,37.796693,-122.2732864
1068458092,37.8001775,-122.2715413
7105216371,37.8000218,-122.2733279
7105216372,37.7993317,-122.2737505
2389032914,37.8002171,-122.2738351
2389032915,37.8021942,-122.2725786
2389032918,37.7995337,-122.2742622
2389032923,37.8015838,-122.2729634
2389032936,37.8008973,-122.2733905
2389032942,37.80216,-122.2724947
