start_node,end_node,name,length
4169924612,4595671521,Broadway,26.217
1068458073,8873548276,Franklin Street,3.389
1068458084,53055589,Webster Street,53.593
4930036068,53055591,9th Street,69.16199999999999
4595671496,53030370,Broadway,9.833
4595671498,2389032936,Broadway,75.07600000000001
4595671502,2389032942,Broadway,64.359
4595671505,2389032923,Broadway,11.445
4595671521,53077110,Broadway,11.149
4595671521,4169924612,Broadway,26.217
53027364,53027366,Franklin Street,86.016
53027364,3969156460,7th Street,41.588
53027366,1186380357,Franklin Street,40.006
53027366,7105216371,8th Street,75.749
53027368,1068458073,Franklin Street,52.16
53027368,1068458092,9th Street,57.563
53027373,9979378007,Franklin Street,47.909000000000006
53027373,53118721,11th Street,115.666
53027375,4306824077,Franklin Street,10.02
53027377,4169924615,Franklin Street,55.198
53027377,53118724,13th Street,115.72300000000001
4930036284,53027364,7th Street,27.436
4930036291,4930036284,7th Street,7.049
4930036298,4930036423,7th Street,2.239
4930036303,4930036305,8th Street,6.428
4930036305,8873537845,8th Street,5.725
4930036312,4930036303,8th Street,42.487
4930036423,53131003,7th Street,41.370999999999995
4930036425,4930036298,7th Street,26.646
52986575,228555555,,315.46400000000006
4930036432,53118723,Webster Street,36.409000000000006
4930036434,4306824231,12th Street,69.634
4930036446,8532169567,10th Street,13.016
4930036463,53030265,10th Street,96.083
53077108,53077109,Broadway,84.706
53077108,7105216372,7th Street,40.036
53077109,2389032914,8th Street,10.505
53077109,53055586,Broadway,85.123
53077110,4595671521,Broadway,11.149
53077110,2389032915,Broadway,10.658999999999999
53077110,10774152322,11th Street,11.689
10774152317,53027375,Franklin Street,10.014
10774152322,53027373,11th Street,108.25399999999999
3969156460,9763736885,7th Street,31.241
53118718,4930036425,7th Street,44.01
53118721,8873552135,Webster Street,52.974000000000004
53118721,53133400,11th Street,116.249
53118723,53118721,Webster Street,85.443
53118723,4930036434,12th Street,36.1
53118724,4175051182,Webster Street,44.714999999999996
53118724,53119221,13th Street,116.167
53078084,53143658,12th Street,115.861
53078109,4930036312,8th Street,44.464
53143658,53118723,12th Street,115.85499999999999
53119221,4175051105,13th Street,40.863
8873552129,53030269,Webster Street,19.267
8873552131,8873552133,Franklin Street,14.05
8873552133,53027373,Franklin Street,53.230000000000004
8873552135,8873552129,Webster Street,13.598
11988871473,53078085,13th Street,31.96
4306824077,53027377,Franklin Street,75.38799999999999
4306824231,53027375,12th Street,9.953
9763736885,53118718,7th Street,42.8
2389032927,4595671505,Broadway,22.853
53030263,53030264,10th Street,115.509
53030264,4930036463,10th Street,20.269
53030265,274411301,10th Street,10.917
53030266,53030269,10th Street,116.29400000000001
53030269,1068458084,Webster Street,31.014
53030370,4595671502,Broadway,11.314
2072636914,53027368,9th Street,63.183
274411301,4930036446,10th Street,39.437999999999995
3393105922,53118718,Webster Street,74.612
3393105923,53098272,8th Street,11.557
3393105924,53027366,8th Street,104.27699999999999
3393105925,53098272,Webster Street,11.619
283267100,228555555,Webster Street,160.125
53055584,5820715450,9th Street,82.483
53055586,2072636914,9th Street,51.64
53055586,4595671496,Broadway,75.25
53055589,4930036068,9th Street,47.169999999999995
53055589,3393105925,Webster Street,72.893
8873537845,53098274,8th Street,16.612
5820715450,2389032936,9th Street,34.272
8532169567,8532169574,10th Street,28.835
8532169574,53030266,10th Street,23.314
53098272,3393105922,Webster Street,11.649
53098272,3393105924,8th Street,11.501
53098274,3393105923,8th Street,104.586
2389063554,53027377,13th Street,118.94099999999999
9979378007,10774152317,Franklin Street,27.522
4175051105,4175051136,13th Street,34.457
4175051136,11988871473,13th Street,8.22
4175051182,4930036432,Webster Street,4.365
8873548276,8873552131,Franklin Street,47.375
1186380357,53027368,Franklin Street,45.0
53082887,53118724,Webster Street,85.809
1068458092,53055589,9th Street,58.336999999999996
7105216371,53077109,8th Street,39.068
7105216372,4930036291,7th Street,40.764
2389032914,2389032918,Broadway,84.75299999999999
2389032914,4169924609,8th Street,68.24699999999999
2389032915,2389032927,Broadway,41.53
2389032923,4595671498,Broadway,9.985
2389032936,53055586,9th Street,8.737
2389032936,2389032914,Broadway,85.12899999999999
2389032942,53077110,Broadway,11.397
